Frequency, Hz	Amplitude, dBm
1.419400000E+9	-8.307115000E+1
1.419403333E+9	-8.308187000E+1
1.419406667E+9	-8.310346000E+1
1.419410000E+9	-8.319727000E+1
1.419413333E+9	-8.281124000E+1
1.419416667E+9	-8.290475000E+1
1.419420000E+9	-8.312582000E+1
1.419423333E+9	-8.313834000E+1
1.419426667E+9	-8.307181000E+1
1.419430000E+9	-8.320889000E+1
1.419433333E+9	-8.292341000E+1
1.419436667E+9	-8.298592000E+1
1.419440000E+9	-8.310745000E+1
1.419443333E+9	-8.302938000E+1
1.419446667E+9	-8.324545000E+1
1.419450000E+9	-8.317092000E+1
1.419453333E+9	-8.266859000E+1
1.419456667E+9	-8.295153000E+1
1.419460000E+9	-8.314124000E+1
1.419463333E+9	-8.310600000E+1
1.419466667E+9	-8.324664000E+1
1.419470000E+9	-8.314194000E+1
1.419473333E+9	-8.319578000E+1
1.419476667E+9	-8.306743000E+1
1.419480000E+9	-8.315534000E+1
1.419483333E+9	-8.321307000E+1
1.419486667E+9	-8.317904000E+1
1.419490000E+9	-8.306903000E+1
1.419493333E+9	-8.316898000E+1
1.419496667E+9	-8.309141000E+1
1.419500000E+9	-8.316061000E+1
1.419503333E+9	-8.307855000E+1
1.419506667E+9	-8.323832000E+1
1.419510000E+9	-8.319498000E+1
1.419513333E+9	-8.318618000E+1
1.419516667E+9	-8.304778000E+1
1.419520000E+9	-8.310281000E+1
1.419523333E+9	-8.307545000E+1
1.419526667E+9	-8.306449000E+1
1.419530000E+9	-8.317894000E+1
1.419533333E+9	-8.308143000E+1
1.419536667E+9	-8.310703000E+1
1.419540000E+9	-8.306303000E+1
1.419543333E+9	-8.320605000E+1
1.419546667E+9	-8.318353000E+1
1.419550000E+9	-8.315417000E+1
1.419553333E+9	-8.319227000E+1
1.419556667E+9	-8.325660000E+1
1.419560000E+9	-8.319244000E+1
1.419563333E+9	-8.307153000E+1
1.419566667E+9	-8.306083000E+1
1.419570000E+9	-8.319091000E+1
1.419573333E+9	-8.310804000E+1
1.419576667E+9	-8.325681000E+1
1.419580000E+9	-8.328168000E+1
1.419583333E+9	-8.329237000E+1
1.419586667E+9	-8.309328000E+1
1.419590000E+9	-8.324039000E+1
1.419593333E+9	-8.323985000E+1
1.419596667E+9	-8.324842000E+1
1.419600000E+9	-8.310130000E+1
1.419603333E+9	-8.300345000E+1
1.419606667E+9	-8.333498000E+1
1.419610000E+9	-8.307911000E+1
1.419613333E+9	-8.304778000E+1
1.419616667E+9	-8.307909000E+1
1.419620000E+9	-8.294575000E+1
1.419623333E+9	-8.304756000E+1
1.419626667E+9	-8.308309000E+1
1.419630000E+9	-8.301432000E+1
1.419633333E+9	-8.310596000E+1
1.419636667E+9	-8.326280000E+1
1.419640000E+9	-8.310611000E+1
1.419643333E+9	-8.318893000E+1
1.419646667E+9	-8.315001000E+1
1.419650000E+9	-8.324610000E+1
1.419653333E+9	-8.320799000E+1
